case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,31260810,35096621,34148648,36927027,964799,31260810;31460810;31633783;31801351;31844594;31862162;31868918;31904054;31921621;31931081;31987837;32004054;32005405;32083783;32150000;32171621;32194594;32212162;32241891;32268918;32272972;32282432;32305405;32336486;32367567;32375675;32390540;32460810;32486486;32560810;32656756;32900000;32955405;33164864;33545945;34014864;34029729;34029729;34106756;34148648;34237837;34270270;34277027;34383783;34468918;34501351;34604054;34608108;34733783;34809459;35383783;35590540;35831081;35844594;35879729;36159459;36414864;36741891;36881081;36885135;36927027;36985135;37787837;37914864;38510810;39645945;42312162;42527027;44885135;47620270;53820270;55404054;59674324;62166216;63495945;64582432;66472972;67691891;71037837;73585135;77120270;85708108;87448648;87854054;97501351;99864864;101655405;110012162;112936486;113050000;117170270;144006756;150427027;153331081;158983783;161102702;168593243;168733783;197425675;202310810,74
geometry/chain-y/64,31536363,34846211,34277272,41019696,964799,31536363;31689393;31719696;31792424;31831818;31874242;31963636;31995454;32057575;32083333;32093939;32095454;32101515;32140909;32200000;32213636;32215151;32224242;32245454;32278787;32318181;32319696;32354545;32412121;32436363;32440909;32450000;32450000;32478787;32580303;32725757;32859090;32912121;32953030;33346969;33428787;33865151;33927272;34083333;34277272;34409090;34425757;34509090;34524242;34530303;34536363;34600000;34627272;34775757;34825757;34866666;35015151;35413636;36087878;36900000;37300000;37469696;37543939;40351515;40769696;41019696;45125757;45331818;48686363;50545454;55187878;56906060;58195454;63346969;64990909;65524242;66312121;67086363;69360606;73586363;75096969;75103030;83013636;87781818;91496969;97634848;115642424;116034848;118762121;119087878;123104545;129237878;131216666;132227272;138834848;140293939;141998484;150803030;163604545;171775757;175042424;178489393;179404545;202277272;208192424,66
geometry/chain-z/64,31456097,34089633,33513414,35357317,964799,31456097;31606097;31712195;31736585;31803658;31809756;31884146;31890243;31926829;31942682;31946341;31998780;32035365;32040243;32048780;32112195;32154878;32209756;32290243;32301219;32309756;32319512;32326829;32330487;32363414;32512195;32512195;32523170;32536585;32563414;32612195;32670731;32714634;32752439;32845121;32885365;32978048;33013414;33082926;33513414;33580487;33665853;33726829;33736585;33737804;33842682;33880487;33918292;34019512;34028048;34151219;34220731;34358536;34362195;34371951;34380487;34469512;34573170;35208536;35336585;35357317;35985365;36504878;36669512;36713414;36818292;36879268;38014634;38241463;38451219;38842682;39586585;40350000;40362195;40393902;40814634;40912195;41068292;41251219;47478048;47925609;49134146;51248780;51975609;57929268;59218292;63368292;66436585;66571951;67131707;75379268;75428048;84701219;88524390;94326829;102473170;113870731;119640243;163224390;199779268,82
geometry/inverse-y/64,38573584,43801886,42039622,49166037,964799,38573584;38622641;38764150;38939622;38964150;38983018;39003773;39045283;39137735;39226415;39228301;39254716;39271698;39422641;39475471;39483018;39516981;39535849;39579245;39675471;39700000;39713207;39741509;39760377;39833962;39883018;39884905;39932075;39994339;40037735;40111320;40160377;40183018;40332075;40483018;40681132;40881132;41101886;41400000;42039622;42128301;42318867;42522641;42756603;42788679;43175471;43215094;43547169;43584905;43607547;43996226;46322641;46483018;46773584;47090566;47154716;47216981;47609433;48258490;49088679;49166037;49596226;49762264;50035849;50847169;51290566;53007547;62164150;66449056;66473584;70024528;72762264;76590566;77871698;84952830;93101886;102333962;106754716;110103773;116871698;131730188;137749056;142371698;143322641;143360377;148283018;154411320;162798113;163100000;168171698;169318867;187684905;190716981;197590566;204190566;204845283;208933962;211150943;225522641;226324528,53
geometry/inverse-x/64,38831578,47830701,43980701,63556140,964799,38831578;38859649;39015789;39057894;39103508;39198245;39245614;39245614;39336842;39450877;39475438;39478947;39578947;39647368;39650877;39659649;39684210;39685964;39745614;39803508;39845614;39952631;39992982;39998245;40429824;40484210;40538596;41138596;41603508;41808771;41863157;41864912;41868421;42014035;42366666;42385964;42959649;43021052;43792982;43980701;44512280;44556140;44584210;45468421;45845614;45885964;46405263;46931578;46945614;47719298;47942105;48717543;49556140;51200000;55126315;55194736;56480701;60282456;61396491;63503508;63556140;66850877;66901754;67547368;72782456;73452631;73800000;86784210;86836842;90375438;91331578;95778947;99228070;103887719;121287719;123317543;127236842;130766666;137226315;140022807;145045614;152008771;156096491;157682456;158012280;160315789;161866666;164907017;167836842;174522807;197447368;198747368;202224561;206154385;213719298;213787719;213892982;214077192;219224561;220882456,57
geometry/wide-serial/64,342900000,354220833,352800000,356241666,964799,342900000;343700000;344808333;345091666;345491666;345850000;346683333;347083333;347450000;347533333;348375000;348466666;348983333;349000000;349191666;349350000;349491666;349575000;349908333;349916666;350141666;350708333;350925000;351075000;351216666;351266666;351266666;351541666;351550000;351950000;352091666;352166666;352208333;352216666;352275000;352300000;352341666;352425000;352775000;352800000;353183333;353233333;353400000;353458333;353500000;353641666;353691666;353900000;354025000;354150000;354291666;354333333;354358333;354800000;354825000;354916666;355333333;355750000;355916666;356150000;356241666;356350000;356408333;356758333;356808333;356841666;357291666;357316666;357350000;357525000;357550000;357825000;358341666;358525000;358783333;358858333;359041666;359100000;359600000;359733333;360008333;360058333;360133333;360175000;360208333;360325000;360533333;360550000;361325000;362541666;362725000;362775000;363008333;363200000;363733333;364150000;364766666;367666666;368683333;375675000,12
geometry/tall-serial/64,191611764,236405882,199741176,239870588,964799,191611764;191935294;192288235;192429411;192741176;192741176;192870588;192947058;193264705;193500000;193958823;194088235;194100000;194105882;194200000;194482352;194488235;194676470;194752941;195129411;195358823;195482352;195552941;195864705;196094117;196723529;197000000;197052941;197247058;197270588;197376470;197470588;197488235;197552941;197564705;197935294;198129411;198394117;199694117;199741176;199852941;204388235;207870588;232570588;234752941;235511764;235694117;236347058;236358823;236376470;236435294;236764705;237841176;237858823;238188235;238211764;238247058;238788235;239435294;239452941;239870588;239888235;240747058;241276470;241400000;241523529;241611764;242029411;242111764;242211764;242617647;242729411;242976470;243311764;244023529;244488235;244558823;244664705;244811764;245123529;245147058;246935294;247176470;248341176;248441176;249129411;249288235;249800000;250023529;250029411;250264705;250647058;251200000;251364705;251423529;251494117;251541176;251647058;252811764;255835294,17
geometry/tall-task-quarter-mib/64,29062500,30742788,30240384,31634615,964799,29062500;29330769;29341346;29344230;29365384;29373076;29397115;29401923;29409615;29419230;29456730;29460576;29466346;29537500;29564423;29570192;29580769;29585576;29599038;29630769;29636538;29723076;29728846;29761538;29777884;29779807;29839423;29848076;29856730;29916346;29944230;29953846;30018269;30057692;30074038;30164423;30164423;30182692;30206730;30240384;30247115;30374038;30491346;30539423;30544230;30560576;30621153;30656730;30685576;30738461;30747115;30803846;30913461;30961538;31046153;31210576;31327884;31373076;31429807;31566346;31634615;31754807;31792307;31976923;32030769;32358653;32371153;32908653;33147115;34072115;34088461;34618269;34854807;35219230;36148076;37139423;38072115;38669230;39035576;39144230;39371153;40308653;40633653;41750000;43434615;43992307;45277884;48239423;48860576;49452884;53146153;53425000;56716346;63096153;65482692;66353846;68738461;73059615;83082692;101615384,104
geometry/tall-task-half-mib/64,39743076,55894615,46335384,76675384,964799,39743076;40275384;40500000;40627692;40635384;40789230;40824615;40849230;41024615;41146153;41276923;41307692;41372307;41507692;41518461;41603076;41616923;41636923;41664615;41726153;41820000;41823076;41827692;42061538;42430769;42593846;42595384;42652307;42689230;42721538;42783076;42886153;43232307;43604615;44260000;44333846;44389230;45210769;45647692;46335384;47429230;47749230;47909230;50056923;50089230;50395384;52552307;54149230;54160000;54264615;57524615;60772307;62746153;69853846;70055384;70250769;71949230;76189230;76343076;76563076;76675384;77375384;77552307;77556923;77572307;77996923;78318461;78586153;78613846;78700000;78769230;79044615;79252307;79323076;79344615;79520000;79875384;80515384;80610769;80936923;81064615;81187692;81321538;81369230;81644615;81775384;82312307;82389230;82601538;82640000;82823076;83067692;83238461;83270769;83392307;84876923;85567692;85810769;85846153;134581538,65
geometry/wide-task-quarter-mib/64,39830434,43878260,42566666,51843478,964799,39830434;39892753;39920289;39953623;39991304;40018840;40059420;40133333;40210144;40214492;40240579;40249275;40256521;40272463;40276811;40326086;40368115;40442028;40468115;40473913;40537681;40559420;40566666;40589855;40637681;40697101;40700000;40749275;40752173;40804347;40840579;40905797;40942028;40949275;40973913;41046376;41082608;41215942;41349275;42566666;42631884;42795652;43015942;43082608;43228985;43310144;43536231;43566666;43684057;43742028;44014492;44246376;44407246;45492753;45768115;45815942;46171014;46901449;47257971;47955072;51843478;54692753;55165217;56186956;56247826;56342028;57955072;58382608;58956521;59557971;60659420;61227536;66478260;67333333;73000000;74392753;78334782;78415942;78569565;78884057;79047826;80442028;84623188;85704347;89837681;92178260;92565217;92643478;93105797;102852173;103289855;104965217;107544927;112066666;123982608;130323188;134491304;139368115;139652173;141884057,69
geometry/full-pair/64,544020000,593110000,578280000,606600000,964799,544020000;544340000;550560000;551060000;551700000;551740000;552520000;552760000;552840000;553980000;554260000;554320000;554360000;554580000;555080000;555660000;555900000;556480000;556640000;556900000;557380000;557640000;558520000;558860000;559860000;560580000;561860000;562360000;563380000;566020000;567040000;567800000;568340000;569360000;569760000;570400000;571520000;571620000;575220000;578280000;581180000;587500000;588140000;588520000;588800000;589000000;590160000;591560000;592400000;592540000;593680000;593700000;593840000;594740000;597860000;598120000;602860000;604840000;606580000;606580000;606600000;618500000;618900000;623580000;624260000;625840000;627420000;632680000;637320000;637800000;642020000;645480000;647380000;648740000;668660000;682500000;694560000;707180000;717880000;727800000;743960000;821960000;845920000;933920000;955820000;975860000;995280000;999160000;1023080000;1045960000;1090960000;1173780000;1261700000;1282000000;1308640000;1515480000;1596920000;1687080000;1988960000;2464060000,5
geometry/rotated-pair/64,529883333,577291666,564333333,618700000,964799,529883333;530133333;530516666;532450000;532816666;533050000;534750000;534750000;535000000;535400000;535516666;535833333;535950000;536000000;536150000;536333333;536450000;536600000;536650000;536916666;537100000;537666666;538766666;539183333;540016666;540066666;540316666;540483333;541250000;547466666;547766666;549133333;549816666;550783333;550933333;561600000;563616666;563666666;563733333;564333333;564933333;565950000;567616666;567716666;568466666;570033333;571333333;571800000;572066666;574416666;580166666;585933333;589483333;594066666;595283333;598150000;599183333;601500000;612183333;615866666;618700000;619916666;625566666;627850000;632416666;653016666;655900000;675833333;687966666;693383333;711250000;733166666;756666666;773033333;776150000;790083333;791916666;799983333;805633333;833883333;848400000;849283333;849650000;862016666;883783333;935433333;940083333;967616666;977650000;979900000;1080366666;1116633333;1188050000;1189100000;1214450000;1360483333;1426350000;1426800000;1513716666;1835300000,6
geometry/rotated-task-quarter-mib/64,465171428,520785713,504114285,577971428,964799,465171428;467000000;468014285;468928571;469600000;469728571;470185714;470485714;470628571;470642857;470842857;470857142;472142857;473128571;473728571;474928571;475085714;475914285;476228571;476657142;477328571;477528571;478628571;479785714;480200000;480442857;480671428;482385714;489657142;491000000;493114285;493171428;495471428;495742857;497214285;497314285;499114285;499357142;503942857;504114285;505400000;506214285;508257142;510828571;513600000;514300000;517600000;517671428;519414285;520557142;521014285;522642857;523714285;529242857;530371428;540728571;546200000;546442857;551357142;577014285;577971428;586071428;595185714;603600000;603985714;619171428;646214285;649771428;669871428;693842857;724742857;734557142;746114285;773371428;773414285;798485714;798585714;866400000;868771428;879628571;902157142;935785714;977700000;979000000;990000000;1010485714;1026814285;1033971428;1087514285;1192714285;1235414285;1334814285;1398128571;1500200000;1609700000;1655614285;1733142857;1870414285;1892085714;1931728571,7
