case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32328155,34908737,34515533,36656310,964799,32328155;32409708;32431067;32587378;32645631;32670873;32694174;32697087;32707766;32727184;32796116;32826213;32857281;32889320;32949514;32951456;32956310;33012621;33034951;33037864;33095145;33124271;33128155;33211650;33275728;33282524;33299029;33376699;33457281;33474757;33643689;33810679;33822330;33826213;33892233;34070873;34348543;34463106;34483495;34515533;34585436;34587378;34615533;34687378;34696116;34742718;34769902;34860194;34868932;34896116;34921359;34979611;35034951;35098058;35117475;35308737;35369902;35801941;35954368;36222330;36656310;36667961;37007766;37117475;37194174;37381553;38784466;39184466;40022330;40107766;45542718;46059223;46728155;47312621;48652427;49544660;50375728;51033009;51747572;52193203;54068932;56502912;59288349;63482524;65622330;67436893;71496116;76606796;79039805;87210679;89766990;91805825;91834951;98830097;108307766;112423300;114507766;133189320;139231067;168115533,103
geometry/chain-y/64,32306818,33667613,33344318,34565909,964799,32306818;32421590;32425000;32479545;32515909;32642045;32682954;32719318;32740909;32743181;32760227;32834090;32837500;32863636;32892045;32905681;32909090;32914772;32920454;32936363;32959090;32960227;32973863;32997727;32998863;33012500;33022727;33029545;33047727;33051136;33077272;33223863;33235227;33244318;33254545;33286363;33310227;33321590;33334090;33344318;33362500;33388636;33389772;33393181;33438636;33489772;33502272;33548863;33615909;33663636;33671590;33785227;33868181;33918181;33963636;33963636;33992045;34057954;34082954;34298863;34565909;34568181;34605681;34639772;34732954;34943181;34954545;34962500;35172727;35521590;35668181;35678409;35839772;36064772;36535227;38245454;38530681;38896590;38931818;41981818;43785227;47144318;49119318;50000000;51326136;52231818;52800000;53398863;53940909;60769318;62987500;65586363;65665909;68763636;70963636;71596590;76075000;83621590;102409090;123528409,88
geometry/chain-z/64,32234831,33544943,33155056,33914606,964799,32234831;32295505;32506741;32510112;32524719;32582022;32601123;32629213;32653932;32684269;32717977;32722471;32748314;32752808;32767415;32779775;32803370;32804494;32823595;32823595;32825842;32833707;32839325;32880898;32891011;32905617;32915730;32955056;32977528;32982022;32993258;33007865;33012359;33014606;33038202;33053932;33059550;33120224;33123595;33155056;33166292;33178651;33179775;33195505;33253932;33277528;33277528;33364044;33429213;33528089;33561797;33591011;33632584;33688764;33771910;33819101;33832584;33857303;33868539;33891011;33914606;33968539;33991011;34031460;34042696;34079775;34138202;34152808;34159550;34205617;34208988;34221348;34264044;34416853;34991011;35014606;35026966;35035955;35065168;35100000;35440449;35962921;36244943;36916853;37361797;38432584;38570786;39367415;44102247;46352808;48497752;54423595;57753932;57884269;63735955;66919101;85608988;92244943;103750561;133146067,89
geometry/inverse-y/64,38684146,42896341,41300000,44717073,964799,38684146;38976829;39248780;39269512;39320731;39397560;39498780;39542682;39641463;39660975;39765853;39876829;39953658;40007317;40113414;40120731;40156097;40228048;40267073;40343902;40382926;40440243;40552439;40556097;40608536;40614634;40621951;40703658;40725609;40728048;40737804;40756097;40760975;40779268;40857317;40859756;41028048;41145121;41240243;41300000;41304878;41404878;41514634;41819512;41870731;41939024;41951219;42214634;42758536;42874390;42918292;42920731;42959756;43484146;43513414;43931707;44179268;44223170;44567073;44641463;44717073;45075609;45192682;45253658;46367073;48671951;51446341;52201219;60634146;61152439;64460975;65554878;65979268;68336585;69389024;77064634;78153658;78679268;80434146;81815853;84363414;86139024;88081707;89062195;89680487;89864634;90375609;91320731;95323170;96141463;98907317;99163414;102963414;103692682;105146341;113284146;138328048;168567073;169790243;253150000,82
geometry/inverse-x/64,38902352,42394117,41238823,44690588,964799,38902352;38955294;39047058;39049411;39085882;39089411;39117647;39297647;39394117;39405882;39408235;39498823;39514117;39529411;39588235;39828235;39870588;39884705;39947058;39960000;39994117;39996470;40054117;40055294;40140000;40227058;40400000;40451764;40494117;40612941;40630588;40631764;40822352;40905882;40936470;40957647;41082352;41125882;41229411;41238823;41392941;41465882;41512941;41602352;41830588;41910588;41991764;41996470;42021176;42369411;42418823;42667058;42850588;42943529;43321176;43356470;43427058;43655294;43830588;44077647;44690588;44729411;45060000;45147058;46274117;46294117;46725882;47184705;47291764;47321176;47865882;48756470;49256470;50008235;54792941;56875294;57448235;57957647;61055294;62882352;65067058;65440000;68528235;69136470;70476470;73009411;73363529;74137647;76482352;94256470;107105882;124783529;127811764;130165882;130874117;138972941;145344705;149714117;152264705;233818823,85
geometry/wide-serial/64,160668750,171137500,165450000,204925000,964799,160668750;160706250;161137500;161387500;161550000;161550000;161631250;161800000;161868750;161968750;162293750;162462500;162468750;162500000;162543750;162550000;162681250;162693750;162800000;162875000;162906250;162925000;163075000;163412500;163468750;163487500;163506250;163562500;163587500;163606250;163762500;163775000;163843750;163925000;163943750;163981250;164243750;164981250;165162500;165450000;166537500;166618750;166937500;166993750;167368750;168500000;168581250;170156250;170537500;170868750;171406250;172350000;174075000;174100000;175218750;175687500;189475000;191862500;193375000;204150000;204925000;210806250;224375000;253118750;254881250;317906250;337012500;340506250;341312500;341943750;344193750;347168750;347300000;347918750;348668750;350475000;352156250;352387500;354162500;354325000;354781250;355050000;355193750;355493750;357431250;357625000;357925000;358162500;358531250;361106250;363893750;365675000;366443750;367762500;368618750;368975000;369618750;370125000;370250000;386887500,16
geometry/tall-serial/64,166471428,169169047,168914285,169566666,964799,166471428;166885714;167047619;167085714;167109523;167395238;167433333;167585714;167657142;167738095;167809523;167885714;167933333;167971428;168014285;168147619;168228571;168228571;168295238;168338095;168342857;168404761;168414285;168452380;168466666;168480952;168514285;168542857;168552380;168561904;168614285;168690476;168709523;168723809;168728571;168747619;168838095;168857142;168895238;168914285;168980952;168995238;169014285;169023809;169047619;169080952;169100000;169114285;169142857;169166666;169171428;169209523;169338095;169361904;169366666;169438095;169452380;169547619;169547619;169552380;169566666;169566666;169576190;169614285;169623809;169628571;169628571;169633333;169661904;169676190;169723809;169852380;169995238;170071428;170147619;170161904;170161904;170166666;170485714;170585714;170661904;170714285;170761904;170785714;171000000;171033333;171114285;171328571;171585714;172100000;172157142;172714285;172719047;172761904;172833333;172947619;173409523;179961904;225785714;226238095,21
geometry/tall-task-quarter-mib/64,29417821,31600990,31204950,32430693,964799,29417821;29583168;29873267;29886138;29895049;29939603;29948514;30010891;30024752;30069306;30116831;30119801;30133663;30185148;30240594;30295049;30305940;30312871;30356435;30367326;30402970;30427722;30441584;30447524;30480198;30527722;30573267;30575247;30732673;30779207;30888118;30890099;30921782;30969306;31020792;31073267;31091089;31135643;31159405;31204950;31211881;31294059;31325742;31349504;31407920;31512871;31516831;31528712;31536633;31570297;31631683;31695049;31713861;31810891;31818811;31874257;32019801;32144554;32297029;32406930;32430693;32470297;32949504;32952475;33006930;33097029;33351485;33431683;33687128;33862376;34695049;34795049;35067326;35183168;35867326;36902970;37258415;37489108;37508910;37643564;37794059;40163366;41343564;41769306;47066336;49204950;50505940;50872277;56481188;57107920;58984158;59076237;59835643;64985148;68724752;70097029;70099009;71389108;73364356;104553465,101
geometry/tall-task-half-mib/64,39231250,41901875,41431250,42977500,964799,39231250;39257500;39506250;39606250;39612500;39782500;39976250;39976250;40015000;40263750;40281250;40415000;40418750;40510000;40543750;40575000;40612500;40615000;40680000;40697500;40756250;40852500;40870000;40982500;41006250;41016250;41021250;41065000;41070000;41141250;41193750;41226250;41235000;41265000;41266250;41272500;41280000;41317500;41360000;41431250;41432500;41505000;41557500;41563750;41605000;41643750;41717500;41777500;41863750;41895000;41908750;41972500;42015000;42068750;42095000;42122500;42246250;42418750;42876250;42903750;42977500;42980000;43123750;43405000;43576250;43786250;43920000;44172500;44213750;44331250;44633750;44685000;45693750;46130000;46431250;47167500;49836250;50022500;50610000;53766250;56018750;56097500;59255000;59521250;60811250;63430000;69846250;71150000;72588750;72767500;73758750;74112500;74352500;74812500;80030000;83713750;91257500;107371250;108832500;109122500,80
geometry/wide-task-quarter-mib/64,39729870,41127272,41014285,41850649,964799,39729870;39798701;39835064;39890909;39901298;40003896;40022077;40068831;40097402;40103896;40115584;40125974;40151948;40163636;40189610;40190909;40261038;40297402;40298701;40325974;40333766;40345454;40393506;40446753;40476623;40518181;40559740;40570129;40577922;40592207;40636363;40648051;40675324;40693506;40698701;40757142;40790909;40894805;40912987;41014285;41025974;41027272;41053246;41055844;41077922;41080519;41087012;41090909;41092207;41118181;41136363;41163636;41223376;41267532;41322077;41359740;41390909;41412987;41585714;41615584;41850649;42036363;42190909;42489610;42627272;42635064;42645454;42715584;42740259;42854545;42872727;42988311;43085714;43154545;43197402;43614285;44276623;44277922;44327272;44514285;44522077;45985714;46846753;49325974;51814285;54042857;54996103;57840259;59215584;60585714;61406493;67638961;69672727;73128571;77367532;77946753;94859740;104184415;107551948;115150649,77
