case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32337113,33843814,33316494,35020618,964799,32337113;32447422;32474226;32498969;32517525;32527835;32547422;32570103;32579381;32650515;32662886;32706185;32741237;32773195;32778350;32806185;32853608;32855670;32878350;32893814;32900000;32932989;33045360;33052577;33073195;33077319;33105154;33107216;33115463;33146391;33154639;33174226;33209278;33214432;33263917;33273195;33279381;33312371;33316494;33316494;33370103;33432989;33479381;33500000;33632989;33635051;33654639;33745360;33779381;33831958;33855670;33945360;33968041;33989690;34076288;34085567;34181443;34327835;34358762;34926804;35020618;35038144;35180412;35213402;35396907;36062886;36093814;37151546;37321649;37406185;40715463;41544329;41706185;42147422;43518556;47839175;49080412;49984536;52887628;54536082;56484536;57125773;57460824;58342268;60550515;66208247;66729896;79170103;80361855;83020618;86604123;95330927;96593814;96732989;102553608;106702061;111321649;135925773;143314432;154860824,97
geometry/chain-y/64,32208247,34213401,33653608,35017525,964799,32208247;32215463;32308247;32313402;32361855;32374226;32378350;32453608;32481443;32522680;32522680;32523711;32532989;32556701;32609278;32611340;32639175;32710309;32728865;32728865;32743298;32819587;32854639;32877319;32910309;32914432;32989690;33039175;33048453;33069072;33125773;33172164;33192783;33381443;33442268;33510309;33517525;33527835;33631958;33653608;33655670;33684536;33779381;33786597;33832989;33861855;33863917;33877319;34086597;34177319;34249484;34262886;34557731;34592783;34606185;34621649;34634020;34808247;34821649;34852577;35017525;35026804;35306185;35353608;35517525;35769072;35976288;36013402;36105154;36128865;36670103;36836082;37217525;37332989;37534020;37645360;37718556;38578350;38881443;39155670;40477319;40592783;42684536;42955670;43506185;46520618;46551546;51064948;51478350;54017525;58970103;62343298;65623711;72864948;74507216;82902061;95636082;100014432;102295876;122060824,97
geometry/chain-z/64,32292631,33348947,32956842,33600000,964799,32292631;32296842;32307368;32342105;32354736;32393684;32440000;32446315;32466315;32481052;32512631;32515789;32515789;32529473;32552631;32575789;32616842;32648421;32650526;32654736;32676842;32714736;32714736;32747368;32753684;32760000;32774736;32812631;32838947;32840000;32858947;32861052;32874736;32881052;32891578;32898947;32906315;32912631;32935789;32956842;33009473;33011578;33046315;33143157;33150526;33152631;33156842;33171578;33184210;33320000;33377894;33380000;33391578;33421052;33537894;33545263;33546315;33555789;33571578;33595789;33600000;33674736;33752631;33768421;33787368;33822105;33933684;33944210;34010526;34160000;34196842;34231578;34248421;34253684;34396842;34657894;34691578;35027368;35192631;35248421;36034736;36649473;37348421;38673684;40230526;41349473;49371578;52284210;55815789;56025263;59202105;60442105;66190526;74236842;79969473;81834736;91985263;114413684;119309473;121840000,95
geometry/inverse-y/64,28692857,30032142,29686734,31271428,964799,28692857;28739795;28768367;28788775;28875510;28883673;28913265;28918367;28929591;28968367;29032653;29036734;29074489;29076530;29076530;29078571;29079591;29088775;29111224;29125510;29177551;29193877;29195918;29201020;29211224;29257142;29297959;29320408;29328571;29439795;29447959;29495918;29504081;29510204;29516326;29596938;29603061;29671428;29680612;29686734;29716326;29753061;29773469;29818367;29864285;29873469;29902040;29912244;29978571;30027551;30036734;30241836;30263265;30276530;30335714;30515306;30874489;30986734;31063265;31221428;31271428;31527551;31611224;31641836;31706122;32060204;32082653;32223469;32390816;32594897;32654081;32783673;33552040;33577551;34472448;34477551;35061224;35124489;35548979;37281632;37365306;39437755;39897959;40615306;43933673;44557142;51353061;52229591;52345918;53032653;54685714;56165306;64077551;67506122;68443877;79119387;83555102;90442857;95377551;121943877,98
geometry/inverse-x/64,28705714,30273332,29893333,31224761,964799,28705714;28708571;28981904;29049523;29093333;29104761;29111428;29112380;29133333;29140000;29146666;29175238;29183809;29200952;29221904;29233333;29277142;29282857;29288571;29310476;29317142;29319047;29326666;29335238;29353333;29415238;29485714;29491428;29515238;29540952;29565714;29586666;29587619;29611428;29613333;29620000;29821904;29860000;29869523;29893333;29911428;29925714;29980952;29999047;30046666;30091428;30094285;30112380;30225714;30252380;30294285;30340000;30421904;30457142;30498095;30701904;30920000;31052380;31053333;31183809;31224761;31233333;31259047;31259047;31323809;31608571;31957142;32019047;32065714;32140000;32633333;32643809;32745714;32862857;32899047;33072380;33205714;33222857;33477142;33509523;33725714;33800952;34496190;34582857;35035238;39108571;43878095;44107619;49278095;49666666;52118095;52270476;54561904;58698095;59512380;67959047;72205714;77969523;77983809;103634285,105
geometry/wide-serial/64,174016666,214213888,190622222,352405555,964799,174016666;174166666;174494444;174916666;174916666;174966666;175166666;175177777;175322222;175600000;175744444;176005555;176766666;177061111;177516666;177838888;177866666;178044444;178727777;178788888;178788888;178983333;179255555;180566666;182483333;184572222;184711111;185227777;185466666;186188888;186561111;186977777;187600000;187883333;188566666;188572222;189111111;189161111;189272222;190622222;191394444;192083333;193833333;194477777;196705555;197166666;200838888;202227777;203994444;208155555;220272222;220627777;227277777;251783333;279616666;282244444;310022222;310155555;315716666;349372222;352405555;353472222;354166666;356066666;356544444;356672222;356800000;359877777;360816666;364161111;365666666;367011111;368116666;368444444;368872222;369194444;370077777;371127777;373150000;374022222;375794444;376350000;378066666;380150000;381777777;382700000;383200000;384150000;386561111;388322222;390105555;394494444;394577777;395772222;396738888;404822222;407200000;417827777;422816666;426538888,18
geometry/tall-serial/64,171000000,186056817,176436363,223140909,964799,171000000;171063636;171472727;171586363;171718181;171786363;171895454;171922727;172072727;172118181;172204545;172268181;172654545;172663636;172677272;172740909;172813636;172836363;172863636;173440909;173690909;173718181;173859090;173877272;173922727;173954545;174140909;174263636;174313636;174472727;174677272;174772727;174795454;174977272;175486363;175836363;176031818;176040909;176100000;176436363;176836363;177227272;177554545;177681818;178736363;179031818;179168181;180513636;182700000;183477272;188636363;200372727;202072727;205995454;207168181;208768181;220840909;220895454;222268181;222572727;223140909;224613636;225022727;225736363;225745454;226104545;226577272;226622727;227263636;227395454;227590909;228218181;228559090;229318181;229609090;229809090;231222727;231227272;231290909;233927272;233990909;234936363;236681818;236704545;236886363;237613636;237936363;238036363;239918181;239936363;240477272;241059090;241654545;241918181;242959090;243731818;245045454;246131818;246750000;252281818,22
geometry/tall-task-quarter-mib/64,29600990,31233168,30871287,31718811,964799,29600990;29894059;29907920;29930693;30006930;30013861;30018811;30063366;30078217;30139603;30151485;30159405;30163366;30170297;30187128;30189108;30192079;30222772;30268316;30290099;30334653;30408910;30421782;30425742;30448514;30459405;30500000;30555445;30582178;30595049;30595049;30604950;30605940;30721782;30772277;30787128;30792079;30807920;30848514;30871287;30911881;30976237;31059405;31071287;31092079;31104950;31123762;31125742;31194059;31230693;31235643;31297029;31302970;31371287;31413861;31482178;31507920;31517821;31521782;31537623;31718811;31762376;31940594;32063366;32069306;32214851;32221782;32360396;32451485;32512871;33195049;33492079;33888118;33992079;34167326;34220792;34576237;34598019;36014851;36524752;37130693;40398019;43547524;44926732;47405940;47417821;53028712;56417821;56979207;61349504;64938613;70721782;70773267;71813861;72021782;77158415;79858415;99681188;143620792;158220792,101
geometry/tall-task-half-mib/64,39024390,43695121,42229268,45271951,964799,39024390;40140243;40174390;40198780;40223170;40308536;40442682;40467073;40789024;40790243;40797560;40820731;40826829;40897560;41053658;41102439;41252439;41321951;41324390;41336585;41351219;41401219;41446341;41532926;41680487;41685365;41687804;41737804;41743902;41782926;41829268;41900000;41929268;41946341;42028048;42045121;42082926;42102439;42206097;42229268;42493902;42596341;42819512;42903658;42930487;42950000;43082926;43245121;43503658;43687804;43702439;43768292;43931707;44362195;44568292;44575609;44731707;45024390;45052439;45058536;45271951;45640243;45696341;46329268;46980487;47012195;47089024;47339024;47654878;47965853;47976829;48540243;48803658;48963414;49519512;50040243;51624390;52401219;53062195;53748780;54610975;54963414;55917073;56110975;56508536;63767073;66610975;72212195;75045121;75860975;76440243;76756097;79106097;80497560;82236585;84432926;87171951;87332926;97873170;99508536,82
geometry/wide-task-quarter-mib/64,39524137,41156896,40641379,41528735,964799,39524137;39572413;39633333;39640229;39658620;39660919;39798850;39809195;39819540;39936781;39943678;40045977;40057471;40086206;40093103;40140229;40140229;40154022;40174712;40194252;40227586;40265517;40270114;40274712;40289655;40302298;40357471;40408045;40434482;40482758;40489655;40496551;40502298;40509195;40536781;40545977;40545977;40549425;40557471;40641379;40670114;40786206;40833333;40857471;40874712;40891954;40904597;40910344;41032183;41143678;41170114;41200000;41232183;41275862;41287356;41313793;41370114;41379310;41444827;41447126;41528735;41634482;41833333;41931034;41996551;42019540;42110344;42325287;42356321;42357471;42663218;42967816;43019540;43181609;43187356;43317241;43465517;43643678;44362068;44873563;45040229;49026436;49264367;51075862;51109195;51582758;54428735;57639080;57722988;60814942;63259770;65890804;69836781;74736781;77400000;83037931;94470114;111249425;123412643;144156321,87
geometry/full-pair/64,534133333,563966666,553183333,575633333,964799,534133333;534983333;535066666;535633333;535700000;536400000;536450000;536616666;536650000;536750000;536766666;538150000;538283333;538583333;538766666;539500000;539583333;539583333;540100000;540166666;541133333;542083333;542316666;542866666;543033333;543166666;543850000;543933333;545966666;547533333;547633333;548483333;548766666;548950000;549416666;549966666;550033333;552333333;552666666;553183333;553500000;554966666;555633333;556033333;556233333;556750000;556850000;557916666;561550000;563200000;564733333;565983333;566150000;566866666;568800000;570733333;571150000;571783333;572016666;575216666;575633333;576400000;577466666;577733333;578333333;578333333;578933333;583050000;583216666;586200000;587050000;592550000;597350000;608183333;608266666;609016666;617183333;618366666;621300000;624316666;627950000;646716666;647716666;653083333;697366666;701150000;711450000;759466666;773033333;783833333;821700000;876483333;1145216666;1236966666;1255200000;1342116666;1466650000;1468650000;1485983333;1794200000,6
geometry/rotated-pair/64,455900000,493266666,485733333,498850000,964799,455900000;459716666;461333333;461966666;462550000;462833333;464516666;464816666;466716666;467116666;468300000;468933333;470300000;470450000;470616666;470816666;470933333;471133333;471183333;471316666;471550000;471683333;472583333;473850000;474233333;474550000;475566666;476550000;477633333;478300000;479366666;481433333;481533333;481583333;482616666;483350000;484433333;484550000;485133333;485733333;486316666;486350000;487666666;487950000;488433333;488566666;489766666;491116666;492100000;493216666;493316666;493350000;494133333;494483333;495083333;496483333;496666666;496850000;497616666;498016666;498850000;501933333;504116666;507266666;517116666;517750000;518666666;523633333;526500000;529983333;532783333;537216666;539166666;541066666;545033333;557116666;560833333;567933333;586816666;601116666;604666666;607283333;616983333;633483333;646166666;646200000;693300000;695933333;730483333;789883333;804850000;978666666;1128900000;1186800000;1208033333;1330150000;1334500000;1530883333;1670116666;1885133333,6
geometry/rotated-task-quarter-mib/64,456028571,487849999,482171428,513414285,964799,456028571;457542857;458942857;458985714;459028571;459771428;459857142;460514285;460885714;461157142;462257142;462528571;462557142;464100000;464200000;465057142;465485714;465500000;465657142;465785714;468057142;469914285;470200000;471271428;471657142;471885714;472600000;472714285;474757142;475900000;476157142;476914285;478385714;478828571;478857142;479857142;479857142;480728571;481342857;482171428;482257142;482785714;483442857;484100000;484514285;485128571;485200000;486185714;486728571;486842857;488857142;489957142;491842857;492171428;492500000;497242857;497428571;502571428;507342857;509785714;513414285;518285714;518900000;520957142;531042857;531828571;533671428;536900000;554914285;555042857;555700000;563257142;564200000;582771428;583857142;588300000;607800000;662200000;681785714;692171428;739514285;821757142;902171428;913642857;997342857;1002057142;1012371428;1037285714;1046014285;1092085714;1110557142;1127457142;1132471428;1173714285;1184328571;1222700000;1227300000;1292542857;1314742857;1885128571,7
