case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,461562500,496087500,484400000,507100000,964799,461562500;461762500;462687500;463987500;464000000;465275000;465375000;465675000;465950000;467100000;467400000;469337500;470100000;471150000;472037500;472575000;473225000;473512500;474375000;474937500;474950000;476350000;478350000;478375000;479475000;479950000;480025000;480187500;481187500;481187500;481362500;481525000;481612500;482287500;482400000;482412500;482912500;483225000;484212500;484400000;488700000;489712500;490262500;490425000;490812500;494200000;494287500;495062500;495587500;495700000;496475000;498212500;498637500;499987500;502137500;503137500;504112500;504812500;506162500;506637500;507100000;507787500;514562500;516137500;517200000;519025000;522150000;522337500;522337500;528600000;529412500;534000000;541650000;544637500;547637500;550825000;552150000;580662500;587137500;597625000;605787500;609212500;638200000;741400000;759600000;775125000;777637500;784150000;795312500;835512500;855412500;874550000;921350000;923450000;1006600000;1185287500;1393800000;1415337500;1743575000;1932450000,8
geometry/rotated-pair/64,458814285,483671428,477285714,489700000,964799,458814285;459542857;461585714;462371428;462442857;462642857;464542857;466085714;466257142;467342857;467742857;467900000;469057142;469157142;469285714;469385714;469457142;469457142;469828571;469900000;469957142;470442857;470600000;470642857;470671428;470957142;471385714;471485714;471785714;472085714;472128571;472485714;472485714;474014285;474757142;475028571;476042857;476057142;476428571;477285714;477571428;478842857;479114285;479214285;479257142;481357142;482542857;483528571;483571428;483657142;483685714;483814285;484742857;485542857;485657142;485885714;487000000;487100000;488728571;488928571;489700000;491700000;491771428;492428571;495142857;496014285;498900000;498900000;501585714;501614285;503757142;510200000;513528571;515942857;517642857;522942857;524200000;525685714;550414285;551757142;554500000;566814285;567114285;585600000;604714285;632757142;645357142;708485714;809500000;827757142;908400000;925328571;934042857;970928571;997771428;997828571;1520100000;1544171428;1629128571;2035700000,7
geometry/full-pair/64,510966666,563441666,547833333,583583333,964799,510966666;528833333;530766666;530833333;531100000;531350000;532166666;532483333;533100000;533183333;533366666;533550000;533616666;533783333;533950000;534500000;534933333;535200000;535216666;535716666;536616666;536850000;536900000;537233333;537666666;538216666;538933333;538983333;539500000;539516666;539683333;540033333;541283333;543400000;543716666;545850000;546016666;546500000;547483333;547833333;548016666;548200000;549216666;550966666;551600000;551883333;552800000;553016666;556316666;562016666;564866666;564983333;569433333;571033333;572316666;572533333;576100000;578200000;581716666;582766666;583583333;585966666;589050000;589316666;592283333;592616666;595016666;595966666;606800000;607750000;609966666;613833333;628550000;647166666;717350000;767300000;825750000;845350000;860650000;906716666;915483333;935966666;959650000;1062416666;1064766666;1130250000;1195716666;1201600000;1301133333;1304150000;1317216666;1318850000;1511933333;1657216666;1936133333;2040783333;2058083333;2147000000;2337150000;2492283333,6
geometry/wide-task-quarter-mib/64,39669841,42034920,41073015,43719047,964799,39669841;39760317;39926984;39979365;40011111;40052380;40061904;40092063;40190476;40206349;40217460;40253968;40261904;40284126;40296825;40342857;40344444;40392063;40428571;40490476;40541269;40550793;40565079;40607936;40641269;40647619;40674603;40695238;40703174;40719047;40804761;40923809;40944444;40949206;40961904;40965079;41009523;41044444;41047619;41073015;41092063;41179365;41188888;41369841;41373015;41407936;41409523;41549206;41723809;42000000;42069841;42076190;42482539;42787301;42963492;43165079;43247619;43269841;43500000;43642857;43719047;43719047;43892063;44512698;44790476;45101587;45117460;45579365;45996825;46020634;46046031;46807936;46866666;47150793;48026984;48596825;49585714;50726984;52388888;56526984;59382539;61384126;62936507;63296825;64692063;64763492;66517460;66765079;68746031;73676190;77753968;79917460;90657142;90893650;99768253;101504761;106577777;127866666;137338095;142623809,63
geometry/tall-task-half-mib/64,38412500,40505555,40070833,41137500,964799,38412500;38576388;38751388;38786111;38933333;38962500;39034722;39040277;39056944;39070833;39131944;39137500;39151388;39177777;39181944;39229166;39268055;39288888;39341666;39355555;39412500;39556944;39593055;39658333;39697222;39745833;39750000;39770833;39795833;39818055;39830555;39840277;39856944;39873611;39884722;39912500;39979166;40019444;40033333;40070833;40108333;40129166;40158333;40179166;40215277;40215277;40216666;40231944;40348611;40376388;40634722;40665277;40683333;40713888;40831944;40922222;41000000;41001388;41002777;41119444;41137500;41365277;41412500;41875000;41929166;42034722;42225000;42375000;42420833;42422222;42805555;43184722;43312500;44254166;44505555;45454166;46408333;48265277;48858333;49215277;52468055;52880555;55875000;61929166;64063888;64319444;65531944;74491666;75341666;76711111;78216666;78283333;80488888;80615277;84293055;91433333;94273611;100640277;101176388;101597222,72
geometry/tall-task-quarter-mib/64,28969620,30731645,30151898,32253164,964799,28969620;29051898;29098734;29103797;29108860;29191139;29193670;29227848;29246835;29246835;29259493;29272151;29293670;29305063;29382278;29383544;29406329;29443037;29444303;29446835;29451898;29502531;29507594;29513924;29591139;29596202;29597468;29620253;29679746;29701265;29724050;29744303;29767088;29770886;29788607;29921518;29930379;30055696;30121518;30151898;30159493;30274683;30302531;30316455;30326582;30451898;30498734;30498734;30631645;30726582;30736708;30944303;31065822;31207594;31356962;31382278;31968354;31974683;31998734;32077215;32253164;32389873;32835443;32948101;33181012;33251898;34345569;35179746;35250632;36098734;36312658;36327848;38151898;39467088;41670886;45739240;46086075;46468354;49288607;53662025;56079746;56475949;57543037;59869620;65196202;65701265;69032911;69694936;75151898;76430379;79763291;85791139;88063291;88289873;91044303;91307594;95674683;137697468;144135443;147502531,79
geometry/tall-serial/64,181716666,233699999,223916666,239950000,964799,181716666;182366666;182644444;183466666;183594444;184205555;184394444;184494444;184883333;185061111;186661111;187305555;187827777;188072222;188111111;188683333;189288888;189844444;191022222;191472222;191838888;191927777;193672222;193877777;193966666;194161111;194333333;195116666;195261111;195677777;198716666;199311111;201766666;205494444;207216666;208322222;213705555;217700000;218600000;223916666;227294444;228477777;228894444;229516666;229594444;229616666;231111111;232022222;233105555;233444444;233955555;236055555;236088888;236227777;236238888;236833333;236983333;237444444;239266666;239311111;239950000;240333333;240416666;240922222;240955555;241266666;241522222;241561111;243094444;243094444;243100000;243672222;243677777;243794444;243905555;244405555;244722222;245766666;246788888;247477777;248000000;248444444;248727777;250255555;250600000;251038888;251161111;251216666;251472222;251605555;253572222;254450000;254627777;254677777;256205555;257416666;258250000;266605555;271672222;276350000,18
geometry/wide-serial/64,165133333,342866666,191125000,354083333,964799,165133333;165158333;165625000;165900000;165916666;165950000;166108333;166166666;166391666;166741666;167858333;167900000;168125000;168175000;169050000;169333333;169400000;169675000;170033333;170483333;170883333;171925000;172658333;173583333;174183333;174383333;174883333;175341666;175766666;175941666;176366666;176608333;176708333;177916666;179558333;180425000;184458333;185150000;186608333;191125000;197216666;203583333;217908333;226575000;233200000;260875000;290958333;295975000;308958333;336958333;348775000;349633333;351216666;351600000;351791666;352016666;352125000;352858333;352858333;354050000;354083333;354275000;354475000;354716666;355250000;356016666;356366666;357300000;357600000;358125000;358450000;359691666;359866666;360550000;361808333;361858333;362016666;362141666;363741666;364283333;364300000;364916666;365108333;365350000;365616666;366108333;366741666;368083333;368800000;368850000;369600000;370608333;370925000;370941666;371191666;373083333;375008333;376183333;379083333;382816666,12
geometry/inverse-x/64,29025806,30722580,30303225,31654838,964799,29025806;29302419;29326612;29418548;29468548;29481451;29496774;29507258;29513709;29550000;29555645;29591129;29595161;29664516;29681451;29683870;29687096;29690322;29718548;29759677;29773387;29795161;29836290;29837903;29849193;29869354;29895967;29916129;29942741;29989516;30020967;30041935;30041935;30150000;30195967;30197580;30207258;30230645;30247580;30303225;30322580;30329838;30394354;30410483;30437096;30467741;30475806;30595161;30643548;30675806;30769354;30817741;30983064;31419354;31439516;31440322;31450806;31471774;31487903;31602419;31654838;31679032;31775806;31793548;32237903;32312096;32407258;32578225;32694354;32820161;32839516;33006451;33310483;33424193;33464516;33570161;34463709;34709677;35425000;35525000;36678225;37187096;37772580;38104838;39054032;42201612;43299193;43579032;48307258;48324193;53516129;57148387;58081451;58497580;62943548;65350000;67759677;77031451;79077419;84890322,124
geometry/inverse-y/64,29159459,30203603,29931531,30481081,964799,29159459;29165765;29182882;29281981;29293693;29300900;29309009;29315315;29330630;29415315;29435135;29436936;29439639;29489189;29511711;29519819;29531531;29552252;29573873;29579279;29599099;29613513;29627927;29641441;29654054;29661261;29668468;29691891;29703603;29719819;29750450;29754954;29761261;29773873;29824324;29836936;29860360;29862162;29872072;29931531;29947747;29955855;30005405;30054954;30064864;30120720;30142342;30146846;30181981;30182882;30224324;30232432;30238738;30242342;30259459;30288288;30403603;30432432;30438738;30439639;30481081;30494594;30497297;30518018;30698198;30727927;30731531;30836036;30836936;30995495;31027927;31148648;31243243;31302702;31336036;31581981;31590090;31781981;31793693;31857657;31891891;32205405;32482882;32629729;35836936;37465765;37661261;37862162;38245045;40282882;40389189;43511711;50208108;51009909;54738738;59188288;59898198;81358558;89652252;143909909,111
