case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,31952336,32978504,32781308,33312149,964799,31952336;31961682;32017757;32057009;32148598;32162616;32213084;32241121;32243925;32246728;32260747;32261682;32320560;32339252;32362616;32373831;32404672;32411214;32438317;32448598;32450467;32457943;32507476;32514018;32542990;32557943;32606542;32608411;32614953;32644859;32656074;32659813;32662616;32691588;32695327;32721495;32735514;32755140;32768224;32781308;32796261;32796261;32811214;32817757;32838317;32884112;32905607;32937383;32949532;32966355;32990654;33025233;33046728;33080373;33085046;33121495;33121495;33123364;33175700;33292523;33312149;33633644;33740186;33762616;34182242;34213084;34229906;34467289;34650467;34738317;34886915;34956074;35185981;35536448;35841121;35971962;36073831;36319626;36700000;36836448;37336448;38461682;39040186;39382242;43687850;44349532;48838317;49346728;55128971;59956074;75471962;88542056;93838317;97397196;99470093;105497196;109053271;137514018;139741121;197745794,107
geometry/chain-y/64,32610843,34422289,33777108,36615662,964799,32610843;32687951;32708433;32779518;32784337;32787951;32815662;32825301;32859036;32872289;32874698;32892771;32996385;33026506;33034939;33055421;33061445;33112048;33122891;33171084;33236144;33255421;33300000;33301204;33340963;33354216;33384337;33389156;33434939;33461445;33521686;33571084;33581927;33586746;33620481;33646987;33748192;33756626;33766265;33777108;33792771;33857831;34078313;34080722;34148192;34251807;34265060;34307228;34337349;34398795;34445783;34779518;34927710;35028915;35255421;35593975;35821686;35832530;36093975;36184337;36615662;36644578;36992771;37155421;37215662;37697590;37762650;37818072;37824096;37989156;38040963;38331325;39857831;40312048;41798795;45019277;45095180;46327710;49721686;51044578;51740963;52167469;54483132;58028915;59693975;61640963;68314457;87395180;94320481;106032530;125516867;135889156;148818072;159066265;175103614;182468674;199424096;206869879;208008433;234371084,83
geometry/chain-z/64,33331250,35084895,34762500,36269791,964799,33331250;33573958;33625000;33676041;33743750;33828125;33846875;33870833;33871875;33944791;33954166;33990625;34041666;34117708;34121875;34162500;34165625;34185416;34214583;34218750;34222916;34242708;34263541;34281250;34287500;34309375;34328125;34328125;34334375;34376041;34477083;34485416;34514583;34544791;34562500;34572916;34626041;34690625;34695833;34762500;34771875;34818750;34883333;34910416;34913541;34927083;34962500;34991666;35001041;35052083;35117708;35188541;35239583;35243750;35288541;35311458;35402083;35975000;36103125;36268750;36269791;36344791;36355208;36444791;36523958;36596875;36640625;36663541;36732291;36869791;37432291;37487500;38305208;38352083;38376041;38555208;39515625;41792708;42345833;51996875;52528125;58921875;59597916;61809375;67712500;74179166;75102083;76169791;86565625;92901041;94495833;95392708;129294791;134116666;144701041;156525000;184809375;200752083;205396875;277872916,96
geometry/inverse-y/64,29313592,30318931,30089320,30867961,964799,29313592;29334951;29370873;29453398;29458252;29467961;29491262;29499029;29521359;29524271;29534951;29545631;29562135;29566990;29589320;29604854;29605825;29695145;29712621;29717475;29724271;29750485;29766019;29805825;29807766;29831067;29831067;29862135;29868932;29874757;29882524;29889320;29920388;29943689;29952427;29985436;29987378;30005825;30025242;30089320;30106796;30123300;30130097;30146601;30166990;30188349;30197087;30247572;30254368;30287378;30350485;30365048;30446601;30467961;30504854;30567961;30594174;30612621;30720388;30817475;30867961;30892233;30941747;31010679;31076699;31120388;31121359;31145631;31246601;31340776;31499029;31532038;31535922;31677669;31779611;31951456;31981553;32023300;32133980;32254368;32930097;34927184;35087378;37007766;37483495;39770873;42293203;44857281;47017475;49849514;53252427;56008737;61033009;62444660;78423300;89248543;95796116;115745631;121357281;130642718,103
geometry/inverse-x/64,29435294,30736764,30297058,32311764,964799,29435294;29473529;29658823;29717647;29772058;29777941;29805882;29841176;29842647;29866176;29877941;29889705;29902941;29914705;29941176;29942647;29961764;29963235;29980882;30014705;30026470;30029411;30050000;30067647;30070588;30098529;30119117;30125000;30150000;30150000;30157352;30179411;30183823;30183823;30225000;30232352;30251470;30263235;30286764;30297058;30322058;30391176;30404411;30407352;30458823;30495588;30510294;30542647;30657352;30692647;30780882;30907352;31011764;31133823;31150000;31251470;31370588;31379411;31455882;31579411;32311764;32501470;32538235;32826470;32836764;32844117;32966176;33938235;34779411;34948529;35072058;35717647;36342647;45350000;45866176;56889705;62885294;68952941;72001470;74022058;75235294;79000000;79136764;84700000;84885294;85607352;89945588;92007352;97694117;98595588;102017647;105851470;127880882;133132352;133310294;135472058;146098529;154644117;157957352;168335294,68
geometry/wide-serial/64,173594117,178732352,177123529,180147058,964799,173594117;173800000;174094117;174300000;174300000;174329411;174441176;174500000;174500000;174517647;174547058;174558823;174647058;174700000;174864705;174952941;175094117;175100000;175129411;175135294;175347058;175441176;175600000;175600000;175800000;175900000;176111764;176158823;176194117;176329411;176394117;176429411;176611764;176641176;176652941;176682352;177029411;177064705;177094117;177123529;177341176;177458823;177870588;177941176;177952941;178070588;178176470;178217647;178347058;178629411;178835294;178911764;179147058;179476470;179535294;179658823;179864705;179870588;179905882;180005882;180147058;180482352;180517647;180611764;180705882;180829411;181070588;181300000;181641176;181647058;181882352;182005882;182064705;182505882;182564705;183194117;183211764;183276470;183482352;183723529;184358823;184835294;185082352;185270588;185929411;186123529;186476470;186505882;187041176;187205882;187476470;188058823;188670588;189341176;189758823;189964705;190141176;190741176;192788235;193552941,17
geometry/tall-serial/64,176600000,188375000,185261111,190355555,964799,176600000;177411111;177861111;177877777;177916666;178133333;178688888;179111111;179577777;179588888;179688888;179705555;179822222;180294444;180716666;180761111;180827777;180861111;180961111;181355555;181483333;181516666;181700000;181811111;181866666;182066666;182150000;182283333;182616666;182677777;182755555;182805555;182955555;183483333;183572222;184538888;184777777;184866666;185144444;185261111;185694444;186122222;186344444;186972222;187027777;187416666;187677777;187722222;188161111;188350000;188400000;188483333;188900000;188972222;189077777;189194444;189472222;189522222;190116666;190255555;190355555;190505555;190955555;191100000;191972222;192750000;192866666;193588888;194294444;194500000;194661111;195205555;195288888;196300000;196844444;197016666;197966666;198005555;199316666;199516666;201061111;201627777;203383333;204366666;206400000;206861111;207438888;208133333;209488888;210388888;212644444;213644444;216338888;231516666;241038888;246533333;249133333;252116666;278938888;280638888,18
geometry/tall-task-quarter-mib/64,29666666,30771904,30479047,31172380,964799,29666666;29704761;29706666;29718095;29730476;29778095;29844761;29860000;29886666;29910476;29912380;30009523;30035238;30044761;30079047;30082857;30102857;30115238;30119047;30123809;30157142;30167619;30172380;30195238;30201904;30238095;30291428;30300952;30310476;30318095;30337142;30342857;30357142;30360952;30384761;30420000;30454285;30466666;30471428;30479047;30520952;30533333;30570476;30593333;30609523;30647619;30676190;30677142;30696190;30764761;30779047;30819047;30910476;30963809;30965714;31025714;31045714;31065714;31074285;31114285;31172380;31239047;31263809;31279047;31282857;31353333;31437142;31443809;31466666;31475238;31720000;31753333;31788571;31993333;32006666;32126666;32195238;32497142;32702857;32914285;32951428;33763809;33888571;34328571;34937142;35655238;35783809;39077142;41393333;41661904;42481904;42782857;48785714;52065714;55004761;55156190;58339047;68425714;102672380;121802857,105
geometry/tall-task-half-mib/64,39338157,41690789,41403947,42226315,964799,39338157;39473684;39632894;39636842;39713157;39790789;39852631;39952631;40042105;40064473;40065789;40117105;40127631;40147368;40161842;40190789;40318421;40564473;40605263;40615789;40727631;40744736;40776315;40784210;40807894;40821052;40868421;40913157;40957894;41030263;41063157;41115789;41118421;41142105;41144736;41151315;41264473;41309210;41376315;41403947;41415789;41448684;41455263;41463157;41501315;41531578;41556578;41573684;41639473;41686842;41694736;41717105;41722368;41782894;41882894;41926315;41961842;42144736;42168421;42221052;42226315;42281578;42327631;42353947;42368421;42492105;42561842;42735526;42797368;42846052;42928947;42996052;43611842;43706578;44073684;44207894;44640789;47532894;49431578;50277631;50544736;51021052;52960526;55444736;56809210;57730263;59472368;59872368;61021052;63211842;67761842;68288157;68925000;71227631;72714473;72931578;75011842;79269736;84746052;99285526,76
geometry/wide-task-quarter-mib/64,39887500,42004687,41583333,42433333,964799,39887500;40125000;40177083;40355208;40384375;40412500;40495833;40510416;40523958;40532291;40550000;40597916;40610416;40645833;40675000;40711458;40711458;40725000;40763541;40798958;40807291;40868750;40917708;40927083;40946875;41110416;41143750;41172916;41175000;41203125;41215625;41236458;41259375;41373958;41397916;41438541;41451041;41508333;41550000;41583333;41612500;41777083;41811458;41841666;41848958;41860416;41890625;41910416;41977083;41988541;42020833;42029166;42077083;42093750;42098958;42102083;42162500;42178125;42278125;42282291;42433333;42517708;42605208;42607291;43077083;43088541;43212500;43352083;43811458;43986458;44005208;44030208;44127083;44353125;44491666;44687500;44956250;45008333;45364583;45450000;45770833;45792708;47513541;53582291;54808333;57713541;63554166;65527083;66342708;80146875;84391666;86878125;87564583;91632291;92089583;93272916;96235416;115772916;118942708;123392708,96
